"Sum Sq"	"Df"	"F value"	"Pr(>F)"
36.6715650026899	3	23.3083437654477	1.81306895299633e-13
0.408432115879918	5	0.155758983742526	0.978171084524166
4.30232838639373	3	2.73454784420989	0.0440306936933512
0.122414494650116	1	0.2334189274144	0.629386067513751
0.269251331485947	1	0.513406171221649	0.474278329975292
0.0808698497911564	1	0.154201948489582	0.694857051289614
6.25462708881335	1	11.9262702559912	0.000641059071477871
0.0115215847062018	1	0.0219692606820988	0.882277921810811
3.5170319077871	14	0.479017630075062	0.94322907689075
0.930425927109752	1	1.77412832169301	0.183978850819327
1.08445668704832	1	2.06783287748477	0.1515762769486
0.762132939459718	3	0.484409556739539	0.693385624088249
143.696879707547	274	NA	NA
